,Traditional Portfolio,Bitcoin Portfolio,Ethereum Portfolio,Alpha Portfolio
2016-06-29,1.110404790626458,1.157620248556562,1.5318570137000547,1.452957779832528
2016-06-30,1.1206235931561919,1.17388750529578,1.543557796847024,1.4658292485477868
2016-07-01,1.129064574695953,1.1828390261348976,1.5514046272166537,1.4722521223601142
2016-07-05,1.1297455856701726,1.1814989608481938,1.5307516679501125,1.4612517425650007
2016-07-06,1.1358129064657738,1.1889974292617846,1.537746357958924,1.4657632883446676
2016-07-07,1.1339070090131673,1.1803848702642865,1.528828491859448,1.45476639602664
2016-07-08,1.1454759796211826,1.1967956143622476,1.5633233717108166,1.4837907982940943
2016-07-11,1.1428360623899922,1.1910075260457138,1.547350870924653,1.4672202670616803
2016-07-12,1.1384037480891809,1.1905538736201224,1.5435705013336058,1.4624749927126914
2016-07-13,1.1430554386241416,1.1930464927193183,1.5489152461586289,1.4670207883838904
2016-07-14,1.1418046894798402,1.1933534257226175,1.5633975730052316,1.4734133691712181
2016-07-15,1.1390873520064864,1.1916546305226674,1.565895211047323,1.4751555172359496
2016-07-18,1.1412710483495352,1.1957773234047644,1.556969762356568,1.4687897183221368
2016-07-19,1.1419133207496717,1.1957665711374295,1.5652619419077876,1.4780757746013669
2016-07-20,1.1375313934439808,1.1901365846090168,1.5707638201416605,1.4812695750497156
2016-07-21,1.1423121723034821,1.1950200806730882,1.5798923983776039,1.4863339511863332
2016-07-22,1.141839662567185,1.191546346684911,1.6038363241232432,1.5042655076618843
2016-07-25,1.1369614531580343,1.1872456833647709,1.5881569631047472,1.4941751643485315
2016-07-26,1.1391591351153774,1.189105893910434,1.5700109955949355,1.4795698688641867
2016-07-27,1.1465408137268505,1.1966066308901238,1.592172058916231,1.4981999173946021
2016-07-28,1.1455882788762624,1.1960391108962085,1.5896650567848392,1.4953343087238036
2016-07-29,1.1510121306232495,1.2023087656054359,1.596916686578796,1.4991202256615286
2016-08-01,1.1507724796078906,1.1934234396204375,1.5743157573282873,1.469746545821438
2016-08-02,1.1498425746967014,1.1819031652570775,1.5433920579152207,1.4313311708356664
2016-08-03,1.1496695146694882,1.1854583580202946,1.5691714101626397,1.4555159485122493
2016-08-04,1.1516137040788819,1.189391598049867,1.5824872829473982,1.4701279948044221
2016-08-05,1.1477540392616943,1.1850890279058073,1.575968567187859,1.463615513577363
2016-08-08,1.1472496006033077,1.1876268378648784,1.5795713802613407,1.4705508194636039
2016-08-09,1.14989736289214,1.1892655631791154,1.5966512005890634,1.48483928577259
2016-08-10,1.1505366449713073,1.1908948178174024,1.596351662556905,1.485170379445863
2016-08-11,1.149633537591227,1.1897603676756612,1.5896892591415732,1.4773359420406746
2016-08-12,1.1485617768143757,1.187921780391396,1.5888450153799043,1.4796387818655132
2016-08-15,1.1512094081096211,1.1871676117138161,1.5857754823058006,1.469047175129926
2016-08-16,1.1498508558986522,1.1885808336846897,1.5836995088129835,1.4665981527396128
2016-08-17,1.1513420634301457,1.1889404739097726,1.5798364738816848,1.464534289773467
2016-08-18,1.1545706584926587,1.1927605908646812,1.5846573225333456,1.466301746334723
2016-08-19,1.1495611443164655,1.1879483972332405,1.5777929895268008,1.4622624801175013
2016-08-22,1.149343034293994,1.1895112049185035,1.582283358355813,1.4708221939803137
2016-08-23,1.1505019542205674,1.1899575564829226,1.5824924580768256,1.4704598146225965
2016-08-24,1.1424612292916752,1.18096455118672,1.571487305312732,1.4643991538308514
2016-08-25,1.1414412597736805,1.1796538867045643,1.5749756112807636,1.465476236571854
2016-08-26,1.1398649366967402,1.178256076929763,1.571734375743484,1.4638172481598604
2016-08-29,1.1443437865163348,1.1809649602723,1.5725153000416208,1.4668539996227457
2016-08-30,1.1388587013715021,1.1759399727952007,1.56840310506377,1.466203121405555
2016-08-31,1.1363921165981337,1.1729136880618711,1.5711130151128672,1.4691978943438537
2016-09-01,1.1380165470166874,1.1742123302999639,1.5780585926948232,1.471996941852622
2016-09-02,1.144904886313937,1.1823209777183377,1.589618036268325,1.4761874687643062
2016-09-06,1.1541623435946764,1.1992731070278142,1.5972080447742456,1.4846501149008935
2016-09-07,1.15257528610275,1.1983854994050074,1.5930216806975934,1.4829367187846352
2016-09-08,1.1481352721822982,1.1967718854925686,1.5850385904333286,1.47606405076271
2016-09-09,1.130613076657997,1.1786378455929196,1.566183148652768,1.462091911375194
2016-09-12,1.1380397116204324,1.1837316843818932,1.5798653786802723,1.4670318450572752
2016-09-13,1.1265099800771803,1.1722756460399322,1.5646484426647314,1.4570334653396748
2016-09-14,1.1277468258352508,1.1739368192123922,1.566554113816371,1.4580040090418969
2016-09-15,1.1302185587805635,1.1761096178664465,1.5705401811388733,1.4580076457486988
2016-09-16,1.1250297992192566,1.1696937544633663,1.5701612119913233,1.4645190945212825
2016-09-19,1.1257291504925324,1.1712105048467971,1.5795326395034097,1.4697265823198242
2016-09-20,1.1264893778298968,1.1715106365956636,1.595040609979069,1.4825865476833957
2016-09-21,1.139641233533194,1.1827841955931058,1.6060017204535426,1.486113705192428
2016-09-22,1.1446343423906598,1.1874575108313115,1.6065001483858186,1.487042337203134
2016-09-23,1.1417492623215009,1.185805346327329,1.603516921684841,1.4866542672770222
2016-09-26,1.1370274918383265,1.1816529995177072,1.5904056905834019,1.4814048755225213
2016-09-27,1.1377352465270718,1.1815097807318187,1.5941170969361989,1.4868620614984878
2016-09-28,1.138992168120271,1.1826687459011982,1.598207041628148,1.488475985073765
2016-09-29,1.1335079971270399,1.1769452864356997,1.5877928451259404,1.4840066383740937
2016-09-30,1.1356843805690904,1.1805656795308217,1.5934562421144929,1.4847166149338005
2016-10-03,1.1330456676400908,1.1784081491076,1.5926598041334197,1.4843121466746894
2016-10-04,1.1139822945855615,1.1586715945064399,1.5644104562543422,1.466783208222906
2016-10-05,1.115493508748434,1.1609454092266398,1.5640458427943613,1.4647131669791256
2016-10-06,1.1117405687707245,1.1571396700324936,1.5566119852118767,1.4599788719391593
2016-10-07,1.1100883930758918,1.1562388341986796,1.552092145639551,1.4577231904838461
2016-10-11,1.10545503076864,1.1556640821079662,1.5344970620281964,1.4499853157801812
2016-10-12,1.107089780356866,1.1562771157139826,1.5384035044027997,1.4525835595651675
2016-10-13,1.1063030478609372,1.1556115324776057,1.537754621343423,1.4526948944617764
2016-10-14,1.103627128245712,1.1539815606949357,1.5343994412206325,1.447840433473043
2016-10-17,1.1031737107646469,1.1530021190115525,1.534239626048789,1.4496500903350713
2016-10-18,1.1095411200720606,1.1592416408673627,1.550295311618018,1.4604868639481035
2016-10-19,1.1135927498995861,1.1620926019937075,1.5489468302577225,1.4569907656959302
2016-10-20,1.1115071642306338,1.159649954661537,1.54659256622706,1.457534419646742
2016-10-21,1.112396702150092,1.1606291195203637,1.54839185063404,1.4603613335121695
2016-10-24,1.113508885215048,1.1658988292961205,1.5476754440168083,1.461195003766902
2016-10-25,1.115180445348991,1.1681482718679015,1.5425789461673163,1.4582931509859887
2016-10-26,1.111135879105082,1.1680398745382168,1.5391709616333784,1.4577254470040004
2016-10-27,1.1100049963865024,1.1690569058445999,1.5378088540824415,1.4551509496665544
2016-10-28,1.1100299647585663,1.1697593052087134,1.5328895942413272,1.4493950567572012
2016-10-31,1.1117676338754887,1.1730925435747483,1.5335395702183845,1.4533826416602185
2016-11-01,1.110095990744691,1.1767060525642654,1.5287218007224226,1.4518532715904258
2016-11-02,1.1101188048610067,1.1784343272079683,1.5284636658254391,1.4538854957999243
2016-11-03,1.1093857739650157,1.1699615106846084,1.5289173187247478,1.443787495916193
2016-11-04,1.1095416634002981,1.172125115075412,1.5326187669085882,1.4517024202415025
2016-11-07,1.113720191804113,1.1765915849223758,1.5345860278403551,1.4507831990940427
2016-11-08,1.1141878399070686,1.1784002070259576,1.5358324710506988,1.4513387487579195
2016-11-09,1.1178015261412562,1.1865655710092817,1.541043671456196,1.4419576913843197
2016-11-10,1.1118778041182167,1.179709466689654,1.5318936916334054,1.431662064530259
2016-11-14,1.0976127015196484,1.162735137233714,1.5039804136326858,1.4137192849351257
2016-11-15,1.1060293191451278,1.1724052735032509,1.5188690604502095,1.424779409701645
2016-11-16,1.1042888700145301,1.1752701675859112,1.513272291496296,1.4295588960107588
2016-11-17,1.1043091336735207,1.1753668108992779,1.5130299215815932,1.4248453865626953
2016-11-18,1.0992109046989311,1.1716065301714171,1.498223994211141,1.416724987234014
2016-11-21,1.1050526776573186,1.1758570782790998,1.5084059280246478,1.42128207219086
