,BTC,ETH,SPY,TLT,GLD,USD,XLE,XLF
2017-07-05,2601.98999,268.77398700000003,242.77000427246094,116.5199966430664,124.48999786376953,96.29000091552734,64.83000183105469,25.06999969482422
2017-07-06,2608.560059,270.549011,240.5500030517578,116.47000122070312,123.45999908447266,95.81999969482422,64.11000061035156,24.8799991607666
2017-07-07,2518.659912,245.99099700000002,242.11000061035156,115.27999877929688,122.72000122070312,96.01000213623047,64.01000213623047,25.049999237060547
2017-07-10,2372.560059,215.356995,242.3699951171875,115.47000122070312,122.9000015258789,96.05000305175781,64.22000122070312,25.020000457763672
2017-07-11,2337.790039,197.404007,242.19000244140625,115.62000274658203,123.11000061035156,95.73999786376953,64.56999969482422,24.799999237060547
2017-07-12,2398.840088,230.774002,244.00999450683594,116.02999877929688,123.95999908447266,95.79000091552734,64.75,24.8799991607666
2017-07-13,2357.899902,209.733002,244.4199981689453,115.81999969482422,123.18000030517578,95.7300033569336,65.01000213623047,25.030000686645508
2017-07-14,2233.340088,199.662003,245.55999755859375,116.7699966430664,123.33000183105469,95.11000061035156,65.4000015258789,24.920000076293945
2017-07-17,2228.409912,193.423996,245.52999877929688,117.29000091552734,123.66999816894531,95.12999725341797,65.31999969482422,24.84000015258789
2017-07-18,2318.8798829999996,234.391006,245.66000366210938,118.11000061035156,124.75,94.66000366210938,65.01000213623047,24.799999237060547
2017-07-19,2273.429932,199.703003,246.99000549316406,118.08000183105469,124.80000305175781,94.80000305175781,65.95999908447266,24.809999465942383
2017-07-20,2817.600098,227.26499900000002,247.10000610351562,118.23999786376953,125.16000366210938,94.2699966430664,65.76000213623047,24.799999237060547
2017-07-21,2667.76001,218.30499300000002,246.8800048828125,119.26000213623047,125.69000244140625,93.94000244140625,65.11000061035156,24.799999237060547
2017-07-24,2754.860107,224.71099900000002,246.82000732421875,119.30999755859375,125.19999694824219,93.9800033569336,64.98999786376953,24.90999984741211
2017-07-25,2576.47998,206.71000700000002,247.4199981689453,118.91999816894531,123.56999969482422,94.05000305175781,65.80999755859375,25.219999313354492
2017-07-26,2529.449951,203.953003,247.42999267578125,119.87999725341797,123.7699966430664,93.66999816894531,65.87999725341797,25.049999237060547
2017-07-27,2671.780029,204.317993,247.1999969482422,119.79000091552734,123.16000366210938,93.86000061035156,66.55000305175781,24.90999984741211
2017-07-28,2809.01001,193.123001,246.91000366210938,120.69000244140625,123.88999938964844,93.26000213623047,66.47000122070312,24.90999984741211
